"ID","RandN","TimeP","Site","Genotype","Treat","Treatment","Set","Score_Full","Score_TP","Score_Set","Score_Seas","AnSet","Season"
"K12_C_N_12","M1_93","M1","KL","AC12","C","Control","M1.KL.AC12.C",25.2697099572267,21.6107661238532,24.3931875389993,25.3131917261058,"Initial","Summer"
"K12_C_N_13","M4_21","M4","KL","AC12","C","Control","M4.KL.AC12.C",22.0706893843068,19.8372765546372,18.5056950030422,19.8372765546372,"Seasonal","Winter"
"K12_C_N_14","M4_20","M4","KL","AC12","C","Control","M4.KL.AC12.C",24.4107314020027,20.9314883566746,20.2431182235166,20.9314883566746,"Seasonal","Winter"
"K12_C_N_15","M4_24","M4","KL","AC12","C","Control","M4.KL.AC12.C",23.0727658269033,20.3154248104903,19.2538583961883,20.3154248104903,"Seasonal","Winter"
"K12_C_N_16","M4_18","M4","KL","AC12","C","Control","M4.KL.AC12.C",25.1711070239534,21.2984590097324,21.2134246734124,21.2984590097324,"Seasonal","Winter"
"K12_C_N_17","M8_3","M8","KL","AC12","C","Control","M8.KL.AC12.C",24.3206917381001,18.9999314301444,20.1614491205959,18.9999314301444,"Seasonal","Spring"
"K12_C_N_18","M8_94","M8","KL","AC12","C","Control","M8.KL.AC12.C",25.0446283073767,19.6339426919583,21.0918812558995,19.6339426919583,"Seasonal","Spring"
"K12_C_N_19","M8_68","M8","KL","AC12","C","Control","M8.KL.AC12.C",25.1727979746418,19.7466771672161,21.242571006975,19.7466771672161,"Seasonal","Spring"
"K12_C_N_2","W1_77","W1","KL","AC12","C","Control","W1.KL.AC12.C",16.9283126456588,21.4939560580792,19.5340897186707,19.0287602080057,"Initial","Summer"
"K12_C_N_20","M8_13","M8","KL","AC12","C","Control","M8.KL.AC12.C",24.9942973738548,19.5587848805276,21.0147702973343,19.5587848805276,"Seasonal","Spring"
"K12_C_N_21","M12_27","M12","KL","AC12","C","Control","M12.KL.AC12.C",24.9950688220203,22.6553261142871,22.6553261142871,25.0966218846494,"Annual","Summer"
"K12_C_N_22","M12_52","M12","KL","AC12","C","Control","M12.KL.AC12.C",24.7827068413677,22.4583506275058,22.4583506275058,24.9013016599924,"Annual","Summer"
"K12_C_N_23","M12_87","M12","KL","AC12","C","Control","M12.KL.AC12.C",22.1039002899087,21.1658904310876,21.1658904310876,22.9925623482507,"Annual","Summer"
"K12_C_N_24","M12_24","M12","KL","AC12","C","Control","M12.KL.AC12.C",23.5058627993349,21.8153284634434,21.8153284634434,23.9975962121881,"Annual","Summer"
"K12_C_N_3","W1_55","W1","KL","AC12","C","Control","W1.KL.AC12.C",15.0013554890592,20.7663606577225,18.1883915186738,17.4667399398411,"Initial","Summer"
"K12_C_N_4","W1_28","W1","KL","AC12","C","Control","W1.KL.AC12.C",16.7564608541875,21.3094666422703,19.3846094901824,18.861193756225,"Initial","Summer"
"K12_C_N_5","W2_45","W2","KL","AC12","C","Control","W2.KL.AC12.C",21.7003426541577,21.5920147224685,22.5310737767747,22.6895227943536,"Initial","Summer"
"K12_C_N_6","W2_61","W2","KL","AC12","C","Control","W2.KL.AC12.C",19.7756853861104,20.9666304524951,21.3791827537891,21.2367665670891,"Initial","Summer"
"K12_C_N_7","W2_90","W2","KL","AC12","C","Control","W2.KL.AC12.C",21.5680254835475,21.613717094616,22.4761378740348,22.6151400645474,"Initial","Summer"
"K12_C_N_8","W2_15","W2","KL","AC12","C","Control","W2.KL.AC12.C",20.4721849954746,21.1359282328815,21.7856295903996,21.744900154967,"Initial","Summer"
"K12_C_N_9","M1_60","M1","KL","AC12","C","Control","M1.KL.AC12.C",25.2296161125178,21.6362081023149,24.3673048813512,25.2809769935858,"Initial","Summer"
"K12_H_N_1","W1_52","W1","KL","AC12","H","Heat","W1.KL.AC12.H",14.9187746599289,20.8360043265335,18.1470398710197,17.4336349849195,"Initial","Summer"
"K12_H_N_11","M1_86","M1","KL","AC12","H","Heat","M1.KL.AC12.H",11.3773674848143,15.5296877882586,15.6707584775889,14.6547240153228,"Initial","Summer"
"K12_H_N_12","M1_69","M1","KL","AC12","H","Heat","M1.KL.AC12.H",18.1233877161245,18.0544353426587,20.3063841669276,19.9450849016199,"Initial","Summer"
"K12_H_N_13","M4_89","M4","KL","AC12","H","Heat","M4.KL.AC12.H",15.1404222197461,17.5107477183385,15.3669145761219,17.5107477183385,"Seasonal","Winter"
"K12_H_N_14","M4_10","M4","KL","AC12","H","Heat","M4.KL.AC12.H",17.8350811480535,18.2211644705904,16.3953254633728,18.2211644705904,"Seasonal","Winter"
"K12_H_N_15","M4_72","M4","KL","AC12","H","Heat","M4.KL.AC12.H",22.7157860771931,20.1361202859819,18.8964670771998,20.1361202859819,"Seasonal","Winter"
"K12_H_N_16","M4_4","M4","KL","AC12","H","Heat","M4.KL.AC12.H",22.4000357307786,19.9746588282556,18.6852713296706,19.9746588282556,"Seasonal","Winter"
"K12_H_N_17","M8_74","M8","KL","AC12","H","Heat","M8.KL.AC12.H",24.3745580676458,19.0319970424349,20.2122054405567,19.0319970424349,"Seasonal","Spring"
"K12_H_N_18","M8_76","M8","KL","AC12","H","Heat","M8.KL.AC12.H",25.2511945059637,20.1508760344623,21.5301869573355,20.1508760344623,"Seasonal","Spring"
"K12_H_N_19","M8_61","M8","KL","AC12","H","Heat","M8.KL.AC12.H",24.7276025693228,20.9222728432663,21.6582142559826,20.9222728432663,"Seasonal","Spring"
"K12_H_N_2","W1_6","W1","KL","AC12","H","Heat","W1.KL.AC12.H",11.7347345710549,19.2397656513131,15.9389874347826,15.0526841673726,"Initial","Summer"
"K12_H_N_20","M8_28","M8","KL","AC12","H","Heat","M8.KL.AC12.H",25.1707921833596,20.4131793805203,21.6286940681755,20.4131793805203,"Seasonal","Spring"
"K12_H_N_21","M12_6","M12","KL","AC12","H","Heat","M12.KL.AC12.H",16.9114453501786,18.9027793482506,18.9027793482506,19.0072058115378,"Annual","Summer"
"K12_H_N_22","M12_61","M12","KL","AC12","H","Heat","M12.KL.AC12.H",9.29265596944111,16.1191264998913,16.1191264998913,13.0268442743865,"Annual","Summer"
"K12_H_N_23","M12_21","M12","KL","AC12","H","Heat","M12.KL.AC12.H",12.3435224110632,17.1192910026688,17.1192910026688,15.3543307927077,"Annual","Summer"
"K12_H_N_24","M12_90","M12","KL","AC12","H","Heat","M12.KL.AC12.H",9.25480650782993,16.0928552105496,16.0928552105496,13.0002247099056,"Annual","Summer"
"K12_H_N_3","W1_25","W1","KL","AC12","H","Heat","W1.KL.AC12.H",9.47264995129353,18.4878861701374,14.351754501485,13.1601365502473,"Initial","Summer"
"K12_H_N_4","W1_10","W1","KL","AC12","H","Heat","W1.KL.AC12.H",6.34881435993848,17.0802688179594,12.2674184495217,11.0312358603946,"Initial","Summer"
"K12_H_N_5","W2_83","W2","KL","AC12","H","Heat","W2.KL.AC12.H",6.36528888920641,15.3434409725175,12.2731513699046,11.027925213043,"Initial","Summer"
"K12_H_N_6","W2_63","W2","KL","AC12","H","Heat","W2.KL.AC12.H",12.1339799907574,17.7947064465416,16.2008878046698,15.2021393199696,"Initial","Summer"
"K12_H_N_7","W2_85","W2","KL","AC12","H","Heat","W2.KL.AC12.H",17.04820163131,19.9590393167581,19.6288356067577,19.1441949951053,"Initial","Summer"
"K12_H_N_8","W2_51","W2","KL","AC12","H","Heat","W2.KL.AC12.H",13.1764643614538,18.2600475637538,16.9361899443251,16.0287927344859,"Initial","Summer"
"K12_H_N_9","M1_6","M1","KL","AC12","H","Heat","M1.KL.AC12.H",16.2502529571422,17.3181556668783,19.0409903500964,18.4637927925496,"Initial","Summer"
"K8_C_N_10","M1_13","M1","KL","AC8","C","Control","M1.KL.AC8.C",25.0803329734656,21.4030802542679,24.3314028078945,25.1201294556224,"Initial","Summer"
"K8_C_N_11","M1_19","M1","KL","AC8","C","Control","M1.KL.AC8.C",24.4801634439991,21.3850917443573,23.9616391091686,24.8234487608631,"Initial","Summer"
"K8_C_N_12","M1_2","M1","KL","AC8","C","Control","M1.KL.AC8.C",24.7448661547756,21.4827907795169,24.0839584475681,24.9844349495618,"Initial","Summer"
"K8_C_N_13","M4_26","M4","KL","AC8","C","Control","M4.KL.AC8.C",21.4768706046554,19.6095975633181,18.1537071784717,19.6095975633181,"Seasonal","Winter"
"K8_C_N_14","M4_96","M4","KL","AC8","C","Control","M4.KL.AC8.C",19.7595343943645,18.8951004527082,17.2338201859854,18.8951004527082,"Seasonal","Winter"
"K8_C_N_15","M4_55","M4","KL","AC8","C","Control","M4.KL.AC8.C",21.92072772271,19.7737421186532,18.385128045648,19.7737421186532,"Seasonal","Winter"
"K8_C_N_16","M4_16","M4","KL","AC8","C","Control","M4.KL.AC8.C",23.5069909823254,20.5087853179192,19.4633868653209,20.5087853179192,"Seasonal","Winter"
"K8_C_N_17","M8_56","M8","KL","AC8","C","Control","M8.KL.AC8.C",24.6626638108668,19.5944812977469,20.8507538674227,19.5944812977469,"Seasonal","Spring"
