"ID","TimeP","Site","Genotype","Treat","Treatment","Seas","Set","Score_Full","Score_TP","RandN","SA_cm2","Chl_ug.cm2","Sym10.6_cm2"
"S12_H_N_5","W2","SS","AC12","H","Heat","Summer1","W2.SS.AC12.H",20.9327384901362,20.9041570410304,"W2_49",49.2966259251226,0.369703463296165,0.861362399619329
"S12_H_N_6","W2","SS","AC12","H","Heat","Summer1","W2.SS.AC12.H",19.0302677461303,19.2246458773445,"W2_94",42.7803736699109,0.27538328886281,0.420768414481161
"S12_H_N_7","W2","SS","AC12","H","Heat","Summer1","W2.SS.AC12.H",18.8147521958038,18.7119951528122,"W2_88",54.129872630975,NA,0.325025704751656
"S12_H_N_8","W2","SS","AC12","H","Heat","Summer1","W2.SS.AC12.H",20.9758765082178,20.9408221173855,"W2_37",41.1405221089966,0.327749851211814,0.810283834310167
"S12_H_N_9","M1","SS","AC12","H","Heat","Summer2","M1.SS.AC12.H",20.4230866234301,20.5546228499814,"M1_41",50.2028596824699,0.32910210237358,0.370792024951121
"S8_C_N_10","M1","SS","AC8","C","Control","Summer2","M1.SS.AC8.C",21.2312115955907,21.5020591843364,"M1_21",74.4985551770673,1.42846618184382,0.998491847569389
"S8_C_N_11","M1","SS","AC8","C","Control","Summer2","M1.SS.AC8.C",21.1926020676432,21.1459581197196,"M1_67",47.4841584104279,1.26567228619419,0.615440727566569
"S8_C_N_12","M1","SS","AC8","C","Control","Summer2","M1.SS.AC8.C",21.4975246707639,21.7425458244488,"M1_80",55.3813382958832,1.51959732146071,0.817460563306129
"S8_C_N_13","M4","SS","AC8","C","Control","Winter","M4.SS.AC8.C",21.4554009939045,21.4501478010784,"M4_76",43.0392976005815,1.68119340619433,0.634828436410886
"S8_C_N_14","M4","SS","AC8","C","Control","Winter","M4.SS.AC8.C",21.3310634258127,21.353613147728,"M4_57",34.7968858075654,0.964208890767232,0.550191477072859
"S8_C_N_15","M4","SS","AC8","C","Control","Winter","M4.SS.AC8.C",21.265403229242,21.6307911531635,"M4_28",53.3099468505179,1.59360691613923,0.117907714626411
